Time,Generation,Consumption,ForecastGen,ForecastCon
2018-12-23 20:45:00,0,2248,0.0,2745.3930054706793
2018-12-23 21:00:00,0,2143,0.0,2576.0222393175122
2018-12-23 21:15:00,0,2347,0.0,2488.60381074005
2018-12-23 21:30:00,0,2094,0.0,2160.2791786278103
2018-12-23 21:45:00,0,1976,0.0,2074.8919822205935
2018-12-23 22:00:00,0,1969,0.0,1975.6843410613183
2018-12-23 22:15:00,0,1963,0.0,1938.7003273109665
2018-12-23 22:30:00,0,1817,0.0,1897.0375540578027
2018-12-23 22:45:00,0,1618,0.0,1883.598448760457
2018-12-23 23:00:00,0,1834,0.0,1972.0806903700836
2018-12-23 23:15:00,0,1679,0.0,1841.374608047171
2018-12-23 23:30:00,0,1525,0.0,1918.814272356737
2018-12-23 23:45:00,0,1613,0.0,1917.8253263420597
